node_id,GEMS Station Number,Country Name,Main Basin,split_key,split_name,snap_distance_m,HYRIV_ID
0,ARG00003,Argentina,LA PLATA,LA PLATA,train,914.4861844143462,61408046
1,ARG00006,Argentina,LA PLATA,LA PLATA,train,1063.7731309960486,61489837
2,ARG00014,Argentina,LA PLATA,LA PLATA,train,71.50755114265864,61335585
3,ARG00015,Argentina,LA PLATA,LA PLATA,train,103.38668058666768,61382771
4,ARG00019,Argentina,LA PLATA,LA PLATA,train,108.53219429133769,61363943
5,ARG00020,Argentina,LA PLATA,LA PLATA,train,12.579845190566123,61364004
6,ARG00021,Argentina,,Argentina,train,61.411166354374416,61425794
7,ARG00022,Argentina,LA PLATA,LA PLATA,train,199.9865425905082,61409113
8,ARG00023,Argentina,,Argentina,train,67.4753880046726,61431056
9,ARG00024,Argentina,MAR CHIQUITA,MAR CHIQUITA,train,538.6754027900445,61414628
10,ARG00025,Argentina,MAR CHIQUITA,MAR CHIQUITA,train,40.92697900365326,61414239
11,ARG00026,Argentina,MAR CHIQUITA,MAR CHIQUITA,train,205.3060395511687,61415380
12,ARG00027,Argentina,MAR CHIQUITA,MAR CHIQUITA,train,158.81143108484338,61404703
13,ARG00028,Argentina,LA PLATA,LA PLATA,train,146.46011005787065,61342024
14,ARG00029,Argentina,LA PLATA,LA PLATA,train,82.8500631994864,61380775
15,ARG00030,Argentina,LA PLATA,LA PLATA,train,128.5582351814435,61338759
16,ARG00031,Argentina,LA PLATA,LA PLATA,train,229.83643473637395,61348461
17,ARG00032,Argentina,LA PLATA,LA PLATA,train,70.56509776662915,61374066
18,ARG00033,Argentina,LA PLATA,LA PLATA,train,571.5111565370283,61398880
19,ARG00034,Argentina,LA PLATA,LA PLATA,train,858.5941079300442,61424774
20,ARG00035,Argentina,LA PLATA,LA PLATA,train,69.75140732544654,61386613
21,ARG00036,Argentina,LA PLATA,LA PLATA,train,507.96347219915236,61444859
22,ARG00037,Argentina,MAR CHIQUITA,MAR CHIQUITA,train,10.150825931466983,61429704
23,ARG00038,Argentina,MAR CHIQUITA,MAR CHIQUITA,train,122.39923655372142,61431639
24,ARG00039,Argentina,COLORADO (SOUTH ATLANTIC),COLORADO (SOUTH ATLANTIC),train,143.8477333634222,61439894
25,ARG00040,Argentina,,Argentina,train,721.8532929728558,61446048
26,ARG00041,Argentina,,Argentina,train,163.058973143109,61437235
27,ARG00042,Argentina,COLORADO (SOUTH ATLANTIC),COLORADO (SOUTH ATLANTIC),train,68.9180106986797,61460649
28,ARG00043,Argentina,COLORADO (SOUTH ATLANTIC),COLORADO (SOUTH ATLANTIC),train,107.74561128978847,61475877
